Type,Price,Amount,Timestamp
Buy,95556.4,0.10465023797464117,1739923577.630859
Sell,95623.655,0.10465023797464117,1739923698.0966148
Buy,95567.34,0.1046382582166669,1739924079.185175
Buy,95209.985,0.10503100068758545,1739927327.207479
Sell,95274.055,0.10503100068758545,1739927387.4344928
Buy,95249.345,0.10498759860238409,1739927507.857543
Buy,95279.3,0.10502521886930376,1739927568.024739
Sell,95279.3,0.10498759860238409,1739927568.08592
Sell,95255.495,0.10502521886930376,1739927688.3952022
Buy,95255.495,0.10501383572166766,1739927688.419849
Sell,95150.885,0.10501383572166766,1739927748.651306
Buy,95033.545,0.10527050433485219,1739928230.2377548
Sell,95021.77,0.10527050433485219,1739928350.6662688
Buy,95030.05,0.10526133208064531,1739928410.894363
Sell,95048.475,0.10526133208064531,1739928471.124117
Buy,95048.475,0.10512698290173819,1739928471.173667
Buy,95092.245,0.10521288135256367,1739928531.3773398
Sell,95092.245,0.10512698290173819,1739928531.413468
Sell,95164.815,0.10521288135256367,1739928651.842744
Buy,95099.38,0.10511909556300891,1739928712.09377
Sell,95110.52,0.10511909556300891,1739928892.5835369
Buy,95182.51,0.10519332164631581,1739928952.748318
Sell,95169.645,0.10519332164631581,1739929012.8389509
Buy,95192.085,0.10502902463925935,1739929133.189994
Sell,95137.67,0.10502902463925935,1739929193.331968
